date,party,winner,loser
2017-01-19,six,M28,M51
2017-01-19,six,M51,M04
2017-01-19,six,M19,M04
2017-01-20,five,M43,M16
2017-01-22,nine,M42,M41
2017-01-22,nine,M41,M05
2017-01-24,nine,M42,M11
2017-01-24,nine,M11,M41
2017-01-24,nine,M42,M11
2017-01-26,six,M59,M20
2017-01-27,nine,M62,M02
2017-01-27,nine,M05,M02
2017-02-01,nine,M05,M02
2017-02-01,nine,M05,M02
2017-02-03,nine,M11,M02
2017-02-08,six,M35,M59
2017-02-08,six,M35,M59
2017-02-08,six,M59,M15
2017-02-09,nine,M42,M41
2017-02-10,five,M43,M27
2017-02-12,nine,M42,M11
2017-02-13,five,M27,M09
2017-02-16,nine,M02,M41
2017-02-18,nine,M62,M41
2017-02-19,six,M20,M51
2017-02-21,nine,M62,M44
2017-02-22,six,M51,M17
2017-02-22,six,M17,M51
2017-02-23,five,M43,M16
2017-03-03,five,M43,M08
2017-03-04,six,M51,M32
2017-03-09,six,M55,M04
2017-03-11,nine,M62,M11
2017-03-12,six,M28,M35
2017-03-12,six,M04,M59
2017-03-23,six,M28,M51
2017-03-30,nine,M05,M11
2017-04-02,nine,M11,M41
2017-04-07,six,M55,M51
2017-04-09,nine,M05,M31
2017-04-12,nine,M11,M41
2017-04-12,nine,M42,M11
2017-04-12,nine,M42,M41
2017-04-15,five,M27,M08
2017-04-16,nine,M05,M02
2017-04-17,six,M17,M32
2017-04-20,six,M35,M51
2017-04-20,six,M21,M17
2017-04-20,six,M17,M28
2017-04-22,five,M43,M08
2017-04-23,six,M28,M51
2017-04-23,six,M51,M59
2017-04-25,five,M38,M27
2017-04-26,six,M35,M20
2017-04-27,nine,M11,M41
2017-05-01,nine,M42,M02
2017-05-01,nine,M42,M49
2017-05-01,six,M28,M55
2017-05-01,six,M28,M21
2017-05-01,six,M17,M59
2017-05-03,five,M38,M08
2017-05-03,five,M10,M27
2017-05-03,five,M27,M08
2017-05-03,five,M43,M08
2017-05-03,five,M09,M16
2017-05-04,nine,M42,M31
2017-05-06,six,M51,M32
2017-05-07,six,M28,M21
2017-05-07,six,M17,M51
2017-05-07,six,M28,M21
2017-05-07,six,M35,M04
2017-05-08,five,M43,M16
2017-05-08,five,M08,M10
2017-05-08,nine,M42,M41
2017-05-09,nine,M42,M41
2017-05-10,five,M43,M08
2017-05-11,nine,M42,M41
2017-05-12,six,M35,M20
2017-05-17,nine,M62,M44
2017-05-18,six,M51,M04
2017-05-19,nine,M12,M42
2017-05-21,nine,M05,M02
2017-05-22,six,M17,M32
2017-05-23,six,M35,M59
2017-05-24,nine,M62,M05
2017-05-25,six,M28,M32
2017-05-25,six,M32,M28
2017-05-26,five,M27,M08
2017-06-02,six,M17,M20
2017-06-04,six,M17,M51
2017-06-04,six,M17,M51
2017-06-07,nine,M42,M41
2017-06-07,nine,M41,M11
2017-06-14,nine,M12,M41
2017-06-14,nine,M62,M11
2017-06-17,nine,M42,M41
2017-06-21,six,M28,M32
2017-07-05,nine,M62,M02
2017-07-05,nine,M05,M02
2017-07-06,six,M55,M35
2017-07-08,five,M43,M16
2017-07-16,six,M21,M55
2017-07-17,nine,M05,M02
2017-07-17,nine,M05,M02
2017-07-17,nine,M44,M02
2017-07-18,six,M35,M59
2017-08-07,nine,M42,M11
2017-09-21,nine,M12,M41
2017-09-29,nine,M44,M62
2017-10-05,nine,M05,M41
2017-11-09,five,M43,M16
2017-11-10,nine,M62,M02
2017-11-24,nine,M42,M12
2017-11-24,nine,M42,M12
2017-11-25,nine,M05,M02
2017-12-01,nine,M42,M11
2017-12-01,nine,M11,M62
2017-12-11,nine,M02,M05
2017-12-11,nine,M05,M62
2018-01-25,nine,M02,M31
2018-03-20,six,M51,M32
2018-03-20,six,M21,M32
2018-03-20,six,M15,M61
2018-05-04,nine,M49,M31
2018-05-06,nine,M44,M12
2018-05-14,nine,M42,M11
2018-05-14,six,M32,M21
2018-06-11,six,M28,M61
2018-06-18,nine,M41,M11
2018-08-09,six,M59,M22
2018-08-09,six,M04,M22
2018-08-09,six,M04,M22
2018-10-07,six,M21,M61
2018-12-06,six,M28,M61
2018-12-12,six,M28,M61
2018-12-21,six,M04,M59
2018-12-26,nine,M31,M62
2019-01-08,nine,M62,M05
2019-02-23,six,M21,M61
2019-05-02,six,M04,M22
2019-06-28,six,M04,M22
2019-09-08,six,M21,M32
2019-09-09,six,M51,M28
2019-12-01,nine,M49,M05
2020-01-14,nine,M37,M53
2020-01-15,six,M20,M22
2020-02-04,six,M04,M22
2020-02-14,six,M04,M22
2020-03-28,nine,M31,M02
2020-12-06,five,M55,M60
2020-12-21,five,M55,M60
2020-12-24,five,M38,M60
2021-01-21,five,M38,M60
2021-01-29,sixi,M20,M22
2021-03-18,sixi,M22,M04
2021-03-28,five,M38,M60
2021-04-11,sixw,M51,M32
2021-06-06,five,M38,M60
2021-10-27,sixw,M51,M61
2021-10-27,sixw,M32,M51
2022-01-14,five,M08,M55
2022-03-15,sixw,M28,M32
2022-06-07,five,M60,M38
2022-06-22,sixi,M04,M22
2022-06-23,sixw,M32,M21
2022-06-27,sixw,M61,M21
2022-07-29,five,M38,M60
2022-09-03,sixw,M28,M32
2022-09-13,sixw,M21,M61
2022-09-17,sixw,M28,M21
2022-09-30,sixw,M21,M32
2022-10-27,five,M08,M38
2022-10-29,sixw,M28,M61
2022-11-21,sixw,M21,M32
